name,io_pad_internal_power,io_pad_switching_power,io_pad_leakage_power,io_pad_total_power,memory_internal_power,memory_switching_power,memory_leakage_power,memory_total_power,black_box_internal_power,black_box_switching_power,black_box_leakage_power,black_box_total_power,clock_network_internal_power,clock_network_switching_power,clock_network_leakage_power,clock_network_total_power,register_internal_power,register_switching_power,register_leakage_power,register_total_power,sequential_internal_power,sequential_switching_power,sequential_leakage_power,sequential_total_power,combinational_internal_power,combinational_switching_power,combinational_leakage_power,combinational_total_power,dyn_power_unit,leak_power_unit,Combinational_Area,Noncombinational_Area,Buf/Inv_Area,Total_Buffer_Area,Total_Inverter_Area,Macro/Black_Box_Area,Net_Area,area_unit,critical_path_length,lvls_of_logic,critical_path_slack,critical_path_clock_latency,total_negative_slack,num_violating_paths,worst_hold_violation,total_hold_violation,num_hold_violations,latency_unit
VectorTwoFingerMergeIntersectionRegistered_metaDataWidth3_arraySize1_numStages1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2391,0.0,0.0,0.2391,0.021443,0.0021458,934.6158,0.024523,0.0,0.0,0.0,0.0,0.0047469,0.0015685,149.5612,0.006465,1mW,1nW,32.381699,135.627697,9.386,2.35,7.04,0.0,0.0,um2,0.16,3.0,0.75,1.0,0.0,0.0,0.0,0.0,0.0,ns
VectorTwoFingerMergeIntersectionRegistered_metaDataWidth3_arraySize1_numStages2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2391,0.0,0.0,0.2391,0.021431,0.0021436,934.6158,0.024509,0.0,0.0,0.0,0.0,0.0047482,0.0015687,149.5612,0.0064664,1mW,1nW,32.381699,135.627697,9.386,2.35,7.04,0.0,0.0,um2,0.16,3.0,0.75,1.0,0.0,0.0,0.0,0.0,0.0,ns
VectorTwoFingerMergeIntersectionRegistered_metaDataWidth3_arraySize2_numStages1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2672,0.0,0.0,0.2672,0.02416,0.0022543,1044.6,0.027459,0.0,0.0,0.0,0.0,0.0047404,0.0015668,154.7861,0.0064621,1mW,1nW,36.605399,151.583897,13.6097,2.35,11.26,0.0,0.0,um2,0.16,3.0,0.75,1.0,0.0,0.0,0.0,0.0,0.0,ns
VectorTwoFingerMergeIntersectionRegistered_metaDataWidth3_arraySize2_numStages2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5063,0.0,0.0,0.5063,0.030536,0.0043319,1979.2,0.036847,0.0,0.0,0.0,0.0,0.026435,0.020605,724.8831,0.047765,1mW,1nW,164.254996,287.211594,42.236999,14.08,28.16,0.0,0.0,um2,0.84,20.0,0.06,1.0,0.0,0.0,0.0,0.0,0.0,ns
VectorTwoFingerMergeIntersectionRegistered_metaDataWidth3_arraySize2_numStages3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5204,0.0,0.0,0.5204,0.037996,0.0062075,2034.2,0.046238,0.0,0.0,0.0,0.0,0.031887,0.019487,838.5831,0.052212,1mW,1nW,192.882296,295.189693,56.315999,21.12,35.2,0.0,0.0,um2,0.82,21.0,0.09,1.0,0.0,0.0,0.0,0.0,0.0,ns
VectorTwoFingerMergeIntersectionRegistered_metaDataWidth3_arraySize2_numStages4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4922,0.0,0.0,0.4922,0.033547,0.0080672,1924.2,0.043538,0.0,0.0,0.0,0.0,0.03394,0.021772,914.7726,0.056627,1mW,1nW,204.614796,279.233494,63.355499,23.46,39.89,0.0,0.0,um2,0.9,24.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,ns
VectorTwoFingerMergeIntersectionRegistered_metaDataWidth3_arraySize4_numStages1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2672,0.0,0.0,0.2672,0.02416,0.0022543,1044.6,0.027459,0.0,0.0,0.0,0.0,0.0047404,0.0015668,166.9775,0.0064743,1mW,1nW,46.460699,151.583897,23.465,2.35,21.12,0.0,0.0,um2,0.16,3.0,0.75,1.0,0.0,0.0,0.0,0.0,0.0,ns
VectorTwoFingerMergeIntersectionRegistered_metaDataWidth3_arraySize4_numStages2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5063,0.0,0.0,0.5063,0.029333,0.0049387,1979.2,0.036251,0.0,0.0,0.0,0.0,0.025447,0.018343,633.4864,0.044423,1mW,1nW,168.009397,287.211594,57.723899,14.08,43.64,0.0,0.0,um2,0.89,21.0,0.02,1.0,0.0,0.0,0.0,0.0,0.0,ns
VectorTwoFingerMergeIntersectionRegistered_metaDataWidth3_arraySize4_numStages3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7595,0.0,0.0,0.7595,0.058027,0.01267,2968.8,0.073666,0.0,0.0,0.0,0.0,0.076124,0.051408,2268.2,0.1298,1mW,1nW,469.769289,430.81739,154.868997,42.24,112.63,0.0,0.0,um2,0.9,29.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,ns
VectorTwoFingerMergeIntersectionRegistered_metaDataWidth3_arraySize4_numStages4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3501,0.0,0.0,1.3501,0.1282,0.022386,5277.8,0.1559,0.0,0.0,0.0,0.0,0.1634,0.1182,4424.3,0.2861,1mW,1nW,916.542879,765.897583,314.430993,84.47,229.96,0.0,0.0,um2,0.9,29.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,ns
VectorTwoFingerMergeIntersectionRegistered_metaDataWidth4_arraySize1_numStages1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3094,0.0,0.0,0.3094,0.022655,0.0024411,1209.5,0.026306,0.0,0.0,0.0,0.0,0.0057093,0.0018585,175.5856,0.0077434,1mW,1nW,38.951899,175.518196,9.386,2.35,7.04,0.0,0.0,um2,0.19,3.0,0.71,1.0,0.0,0.0,0.0,0.0,0.0,ns
VectorTwoFingerMergeIntersectionRegistered_metaDataWidth4_arraySize1_numStages2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3094,0.0,0.0,0.3094,0.022655,0.0024411,1209.5,0.026306,0.0,0.0,0.0,0.0,0.0057093,0.0018585,175.5856,0.0077434,1mW,1nW,38.951899,175.518196,9.386,2.35,7.04,0.0,0.0,um2,0.19,3.0,0.71,1.0,0.0,0.0,0.0,0.0,0.0,ns
