latency(ns),dynamic energy(pJ),leakage power(mW),idle energy(pJ),area(um^2),comment,datawidth
0.5,0.142,0.0033,0.0016,3.79E+02,this is a one stage adder,32
1,0.21,0.0023,0.0023,2.78E+02,this is a one stage adder,32
2,0.0858,0.0024,0.0048,1.79E+02,this is a one stage adder,32
1,3.1938,0.0029,0.121,463.2,this is a one stage adder,8
2,3.1938,0.0029,0.121,463.2,this is a one stage adder,8
3,0.0859,0.0024,0.0071,1.79E+02,this is a one stage adder,32
4,0.0857,0.0024,0.0095,1.79E+02,this is a one stage adder,32
5,0.0857,0.0024,0.0119,1.79E+02,this is a one stage adder,32
6,0.0857,0.0024,0.0143,1.79E+02,this is a one stage adder,32
10,0.0853,0.0024,0.0238,1.79E+02,this is a one stage adder,32
